"data.date","data.datatype","data.station","data.value","data.fl_m","data.fl_q","data.fl_so","data.fl_t"
"1987-10-01T00:00:00","PRCP","GHCND:USC00133487",0,"","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00133584",0,"","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00134101",0,"P","","0","1700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00134142",0,"P","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00134381",0,"P","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00134502",0,"P","","0","1800"
"1987-10-01T00:00:00","PRCP","GHCND:USC00135650",0,"","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00135837",0,"P","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00135952",0,"P","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00135992",0,"P","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00136316",0,"P","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00136327",0,"","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00136527",0,"","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00136566",0,"P","","0","0800"
"1987-10-01T00:00:00","PRCP","GHCND:USC00136940",0,"P","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00137161",0,"","","0","1800"
"1987-10-01T00:00:00","PRCP","GHCND:USC00137594",0,"","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00137700",0,"","","0","1700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00138266",0,"P","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00138296",0,"P","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00138568",0,"","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00138668",0,"P","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00138688",0,"P","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00138755",0,"P","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00138806",0,"P","","0","0700"
"1987-10-01T00:00:00","PRCP","GHCND:USC00139132",0,"P","","0","0600"
"1987-10-01T00:00:00","PRCP","GHCND:USW00014940",0,"","","0","2400"
"1995-04-01T00:00:00","PRCP","GHCND:USC00130203",0,"T","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00130213",0,"","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00130807",3,"","","0","0800"
"1995-04-01T00:00:00","PRCP","GHCND:USC00130923",0,"P","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00131233",0,"P","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00131394",3,"","","0",""
"1995-04-01T00:00:00","PRCP","GHCND:USC00131402",0,"","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00131533",0,"P","","0","0800"
"1995-04-01T00:00:00","PRCP","GHCND:USC00131541",0,"","","0",""
"1995-04-01T00:00:00","PRCP","GHCND:USC00131954",0,"","","0","0800"
"1995-04-01T00:00:00","PRCP","GHCND:USC00132110",0,"P","","0","1700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00132171",5,"","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00132235",0,"P","","0","0800"
"1995-04-01T00:00:00","PRCP","GHCND:USC00132689",0,"","","0",""
"1995-04-01T00:00:00","PRCP","GHCND:USC00132977",0,"P","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00133007",0,"","","0","2400"
"1995-04-01T00:00:00","PRCP","GHCND:USC00133290",0,"","","0","0800"
"1995-04-01T00:00:00","PRCP","GHCND:USC00133438",0,"P","","0","0800"
"1995-04-01T00:00:00","PRCP","GHCND:USC00133473",0,"","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00133487",0,"","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00133584",0,"T","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00134101",0,"","","0","1700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00134142",0,"","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00134381",0,"P","","0","0600"
"1995-04-01T00:00:00","PRCP","GHCND:USC00134502",0,"P","","0","0500"
"1995-04-01T00:00:00","PRCP","GHCND:USC00135650",0,"","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00135837",0,"","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00135952",0,"","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00135992",0,"P","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00136316",15,"","","0","1800"
"1995-04-01T00:00:00","PRCP","GHCND:USC00136327",0,"","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00136527",0,"","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00136566",0,"P","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00136940",0,"P","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00137161",0,"P","","0","1800"
"1995-04-01T00:00:00","PRCP","GHCND:USC00137594",0,"T","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00137613",0,"P","","0","0800"
"1995-04-01T00:00:00","PRCP","GHCND:USC00137700",0,"","","0","1700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00138266",0,"P","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00138296",0,"","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00138568",0,"","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00138668",0,"P","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00138688",0,"","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00138755",0,"P","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00138806",0,"P","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USC00139132",0,"P","","0","0700"
"1995-04-01T00:00:00","PRCP","GHCND:USW00014940",0,"","","0","2400"
