"","Permit.No","Facility","End.Date","Outfall","Expiration","Parameter","No.Discharge","Avg","Max","Monitoring.Location","Units","Mon.Period","X__1","X__2","X__3","X__4","Facility.Name","Param","Limit.Flag","Mon.Date","Daily.Value","Unit","Mon.Locat","Out..","Mon.Freq","Facility.Type","Description"
"1","2503001","ADEL CITY OF STP",2002-10-31,"001",2002-05-28,"FLOW",NA,0.348,0.58,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2503001","ADEL CITY OF STP",2002-09-30,"001",2002-05-28,"FLOW",NA,0.283,0.446,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2503001","ADEL CITY OF STP",2002-08-31,"001",2002-05-28,"FLOW",NA,0.181,0.576,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2503001","ADEL CITY OF STP",2002-07-31,"001",2002-05-28,"FLOW","LAGOON STOR",NA,NA,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2503001","ADEL CITY OF STP",2002-06-30,"001",2002-05-28,"FLOW",NA,0.586,0.911,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2503001","ADEL CITY OF STP",2002-05-31,"001",2002-05-28,"FLOW",NA,0.533,0.73,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2503001","ADEL CITY OF STP",2002-04-30,"001",2002-05-28,"FLOW",NA,0.529,0.721,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2503001","ADEL CITY OF STP",2002-03-31,"001",2002-05-28,"FLOW",NA,0.481,0.59,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2503001","ADEL CITY OF STP",2002-02-28,"001",2002-05-28,"FLOW",NA,0.5,0.538,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2503001","ADEL CITY OF STP",2002-01-31,"001",2002-05-28,"FLOW",NA,0.52,0.7111,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2503001","ADEL CITY OF STP",2001-12-31,"001",2002-05-28,"FLOW",NA,0.633,0.709,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2503001","ADEL CITY OF STP",2001-11-30,"001",2002-05-28,"FLOW",NA,0.388,0.433,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2503001","ADEL CITY OF STP",2001-10-31,"001",2002-05-28,"FLOW",NA,0.362,0.524,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2503001","ADEL CITY OF STP",2001-09-30,"001",2002-05-28,"FLOW",NA,0.439,0.868,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2503001","ADEL CITY OF STP",2001-08-31,"001",2002-05-28,"FLOW",NA,0.366,0.609,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2503001","ADEL CITY OF STP",2001-07-31,"001",2002-05-28,"FLOW",NA,0.282,0.45,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2503001","ADEL CITY OF STP",2001-06-30,"001",2002-05-28,"FLOW",NA,0.65,0.898,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2503001","ADEL CITY OF STP",2001-05-31,"001",2002-05-28,"FLOW",NA,0.677,1.12,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2503001","ADEL CITY OF STP",2001-04-30,"001",2002-05-28,"FLOW",NA,0.609,0.73,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2503001","ADEL CITY OF STP",2001-03-31,"001",2002-05-28,"FLOW",NA,0.73,0.894,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2503001","ADEL CITY OF STP",2001-02-28,"001",2002-05-28,"FLOW",NA,0.488,0.753,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2503001","ADEL CITY OF STP",2001-01-31,"001",2002-05-28,"FLOW",NA,0.362,0.491,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2503001","ADEL CITY OF STP",2000-12-31,"001",2002-05-28,"FLOW",NA,0.495,0.72,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2503001","ADEL CITY OF STP",2000-11-30,"001",2002-05-28,"FLOW",NA,0.432,0.527,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2503001","ADEL CITY OF STP",2000-10-31,"001",2002-05-28,"FLOW",NA,0.315,0.383,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2503001","ADEL CITY OF STP",2000-09-30,"001",2002-05-28,"FLOW",NA,0.354,0.419,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2503001","ADEL CITY OF STP",2000-08-31,"001",2002-05-28,"FLOW",NA,0.361,0.424,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2503001","ADEL CITY OF STP",2000-07-31,"001",2002-05-28,"FLOW",NA,0.723,1.16,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2503001","ADEL CITY OF STP",2000-06-30,"001",2002-05-28,"FLOW",NA,0.267,0.396,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2503001","ADEL CITY OF STP",2000-05-31,"001",2002-05-28,"FLOW",NA,0.38,0.617,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2503001","ADEL CITY OF STP",2000-04-30,"001",2002-05-28,"FLOW",NA,0.281,0.361,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2503001","ADEL CITY OF STP",2000-03-31,"001",2002-05-28,"FLOW",NA,0.144,0.22,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2503001","ADEL CITY OF STP",2000-02-29,"001",2002-05-28,"FLOW",NA,0.299,0.39,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2503001","ADEL CITY OF STP",2000-01-31,"001",2002-05-28,"FLOW",NA,0.358,0.41,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2503001","ADEL CITY OF STP",1999-12-31,"001",2002-05-28,"FLOW",NA,0.287,0.38,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2503001","ADEL CITY OF STP",1999-11-30,"001",2002-05-28,"FLOW",NA,0.292,0.364,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2503001","ADEL CITY OF STP",1999-10-31,"001",2002-05-28,"FLOW",NA,0.433,0.548,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2503001","ADEL CITY OF STP",1999-09-30,"001",2002-05-28,"FLOW",NA,0.449,0.704,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2503001","ADEL CITY OF STP",1999-08-31,"001",2002-05-28,"FLOW",NA,0.442,0.555,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2503001","ADEL CITY OF STP",1999-07-31,"001",2002-05-28,"FLOW",NA,0.534,0.9,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2503001","ADEL CITY OF STP",1999-06-30,"001",2002-05-28,"FLOW",NA,0.44,0.74,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2503001","ADEL CITY OF STP",1999-05-31,"001",2002-05-28,"FLOW",NA,0.666,0.901,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2503001","ADEL CITY OF STP",1999-04-30,"001",2002-05-28,"FLOW",NA,0.816,1.23,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2503001","ADEL CITY OF STP",1999-03-31,"001",2002-05-28,"FLOW",NA,0.862,1.489,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2503001","ADEL CITY OF STP",1999-02-28,"001",2002-05-28,"FLOW",NA,0.398,0.978,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2503001","ADEL CITY OF STP",1999-01-31,"001",2002-05-28,"FLOW",NA,0.29,0.323,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2503001","ADEL CITY OF STP",1998-12-31,"001",2002-05-28,"FLOW",NA,0.346,0.464,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2503001","ADEL CITY OF STP",1998-11-30,"001",2002-05-28,"FLOW",NA,0.403,0.547,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2503001","ADEL CITY OF STP",1998-10-31,"001",2002-05-28,"FLOW",NA,0.402,0.515,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2503001","ADEL CITY OF STP",1998-09-30,"001",2002-05-28,"FLOW",NA,0.436,0.52,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2503001","ADEL CITY OF STP",1998-08-31,"001",2002-05-28,"FLOW",NA,0.413,0.509,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2503001","ADEL CITY OF STP",1998-07-31,"001",2002-05-28,"FLOW",NA,0.695,1.25,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2503001","ADEL CITY OF STP",1998-06-30,"001",2002-05-28,"FLOW",NA,1.199,3.17,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2503001","ADEL CITY OF STP",1998-05-31,"001",2002-05-28,"FLOW",NA,0.463,0.562,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2503001","ADEL CITY OF STP",1998-04-30,"001",2002-05-28,"FLOW",NA,0.693,1.06,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2503001","ADEL CITY OF STP",1998-03-31,"001",2002-05-28,"FLOW",NA,0.67,1.49,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2503001","ADEL CITY OF STP",1998-02-28,"001",2002-05-28,"FLOW",NA,0.472,0.522,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2503001","ADEL CITY OF STP",1998-01-31,"001",2002-05-28,"FLOW",NA,0.396,0.549,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2503001","ADEL CITY OF STP",1997-12-31,"001",2002-05-28,"FLOW",NA,0.362,0.419,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2503001","ADEL CITY OF STP",1997-11-30,"001",2002-05-28,"FLOW",NA,0.362,0.414,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2503001","ADEL CITY OF STP",1997-10-31,"001",2002-05-28,"FLOW",NA,0.352,0.468,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2503001","ADEL CITY OF STP",1997-09-30,"001",2002-05-28,"FLOW",NA,0.29,0.352,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2503001","ADEL CITY OF STP",1997-08-31,"001",2002-05-28,"FLOW",NA,0.321,0.381,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2503001","ADEL CITY OF STP",1997-07-31,"001",2002-05-28,"FLOW",NA,0.321,0.388,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2503001","ADEL CITY OF STP",1997-06-30,"001",2002-05-28,"FLOW",NA,0.482,0.583,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2503001","ADEL CITY OF STP",1997-05-31,"001",2002-05-28,"FLOW",NA,0.56,0.646,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2503001","ADEL CITY OF STP",1997-04-30,"001",2002-05-28,"FLOW",NA,0.583,0.674,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2503001","ADEL CITY OF STP",1997-03-31,"001",2002-05-28,"FLOW",NA,0.445,0.51,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","5502001","ALGONA CITY OF STP",2001-07-31,"001",2001-04-04,"FLOW",NA,1.147,2.229,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","5502001","ALGONA CITY OF STP",2001-06-30,"001",2001-04-04,"FLOW",NA,1.384,1.986,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","5502001","ALGONA CITY OF STP",2001-05-31,"001",2001-04-04,"FLOW",NA,2.186,3.897,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","5502001","ALGONA CITY OF STP",2001-04-30,"001",2001-04-04,"FLOW",NA,2.268,3.78,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","5502001","ALGONA CITY OF STP",2001-03-31,"001",2001-04-04,"FLOW",NA,1.737,2.863,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","5502001","ALGONA CITY OF STP",2001-02-28,"001",2001-04-04,"FLOW",NA,1.005,1.333,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","5502001","ALGONA CITY OF STP",2001-01-31,"001",2001-04-04,"FLOW",NA,0.987,1.175,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","5502001","ALGONA CITY OF STP",2000-12-31,"001",2001-04-04,"FLOW",NA,0.986,1.103,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","5502001","ALGONA CITY OF STP",2000-11-30,"001",2001-04-04,"FLOW",NA,1.026,1.58,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","5502001","ALGONA CITY OF STP",2000-10-31,"001",2001-04-04,"FLOW",NA,0.925,1.109,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","5502001","ALGONA CITY OF STP",2000-09-30,"001",2001-04-04,"FLOW",NA,0.918,1.097,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","5502001","ALGONA CITY OF STP",2000-08-31,"001",2001-04-04,"FLOW",NA,1.043,1.45,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","5502001","ALGONA CITY OF STP",2000-07-31,"001",2001-04-04,"FLOW",NA,1.198,1.851,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","5502001","ALGONA CITY OF STP",2000-06-30,"001",2001-04-04,"FLOW",NA,1.116,1.583,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","5502001","ALGONA CITY OF STP",2000-05-31,"001",2001-04-04,"FLOW",NA,0.975,1.299,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","5502001","ALGONA CITY OF STP",2000-04-30,"001",2001-04-04,"FLOW",NA,1.014,1.222,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","5502001","ALGONA CITY OF STP",2000-03-31,"001",2001-04-04,"FLOW",NA,0.955,1.04,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","5502001","ALGONA CITY OF STP",2000-02-29,"001",2001-04-04,"FLOW",NA,0.974,1.178,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","5502001","ALGONA CITY OF STP",2000-01-31,"001",2001-04-04,"FLOW",NA,0.915,1.005,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","5502001","ALGONA CITY OF STP",1999-12-31,"001",2001-04-04,"FLOW",NA,0.911,1.037,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","5502001","ALGONA CITY OF STP",1999-11-30,"001",2001-04-04,"FLOW",NA,0.906,1.029,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","5502001","ALGONA CITY OF STP",1999-10-31,"001",2001-04-04,"FLOW",NA,0.905,1.108,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","5502001","ALGONA CITY OF STP",1999-09-30,"001",2001-04-04,"FLOW",NA,0.905,1.097,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","5502001","ALGONA CITY OF STP",1999-08-31,"001",2001-04-04,"FLOW",NA,1.002,1.149,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","5502001","ALGONA CITY OF STP",1999-07-31,"001",2001-04-04,"FLOW",NA,1.35,2.114,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","5502001","ALGONA CITY OF STP",1999-06-30,"001",2001-04-04,"FLOW",NA,2.086,3.736,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","5502001","ALGONA CITY OF STP",1999-05-31,"001",2001-04-04,"FLOW",NA,1.84,2.68,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","5502001","ALGONA CITY OF STP",1999-04-30,"001",2001-04-04,"FLOW",NA,2.72,3.976,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","5502001","ALGONA CITY OF STP",1999-03-31,"001",2001-04-04,"FLOW",NA,1.212,1.48,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","5502001","ALGONA CITY OF STP",1999-02-28,"001",2001-04-04,"FLOW",NA,1.139,1.478,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","5502001","ALGONA CITY OF STP",1999-01-31,"001",2001-04-04,"FLOW",NA,0.931,1.06,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","5502001","ALGONA CITY OF STP",1998-12-31,"001",2001-04-04,"FLOW",NA,0.97,1.245,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","5502001","ALGONA CITY OF STP",1998-11-30,"001",2001-04-04,"FLOW",NA,1.046,1.22,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","5502001","ALGONA CITY OF STP",1998-10-31,"001",2001-04-04,"FLOW",NA,1.031,1.294,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","5502001","ALGONA CITY OF STP",1998-09-30,"001",2001-04-04,"FLOW",NA,0.896,1.072,"RAW WASTE OR FINAL EFFLUENT(FLOW)","MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
